experiment,seed,dataset,metric,value,checkpoint,source_file
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,std,CVC-300,MAE,0.00026033823633884345,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,mean,CVC-ClinicDB,mDice,0.9370311077243537,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,std,CVC-ClinicDB,mDice,0.0024221672638681806,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,mean,CVC-ClinicDB,mIoU,0.8877346896997063,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,std,CVC-ClinicDB,mIoU,0.0037731995665761793,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,mean,CVC-ClinicDB,S_alpha,0.9466457201439521,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,std,CVC-ClinicDB,S_alpha,0.0011891009055441269,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,mean,CVC-ClinicDB,F_beta_w,0.9253864820500116,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,std,CVC-ClinicDB,F_beta_w,0.002721176377895674,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,mean,CVC-ClinicDB,maxE_phi,0.9824927613421023,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,std,CVC-ClinicDB,maxE_phi,0.0007002574360192555,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,mean,CVC-ClinicDB,mE_phi,0.9775767974518983,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,std,CVC-ClinicDB,mE_phi,0.0007223660798731955,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,mean,CVC-ClinicDB,MAE,0.01086815524827675,--,aggregate: seeds 42|6543|7777; ddof=1
